accession	domain	phylum	class	order	family	genus	species	cutacc	assembly_status	refseq_category	taxonomy_check_status	match_status	completeness	completeness_percentile	contamination	geo_loc_name	lat_lon	host	isolation_source	sample_type
RS_GCF_011752045.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001639925	GCF_011752045.1	current	NA	Inconclusive	below_threshold_mismatch	99.11	83.333336	2.21	China: Xinjiang	NA	NA	soil	ncbi
RS_GCF_001262495.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001262495	GCF_001262495.1	current	NA	OK	genus_match	99.1	100	3.66	United Kingdom	NA	Botryococcus braunii	NA	ncbi
RS_GCF_002362255.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002362255	GCF_002362255.1	current	NA	OK	genus_match	99.11	100	1.1	Malaysia: Pahang	NA	NA	Gold Mine crushed ores	ncbi
RS_GCF_007667425.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp007667425	GCF_007667425.1	current	NA	OK	genus_match	99.04	50	1.55	USA: North Carolina, Durham	NA	not applicable	environmental	ncbi
RS_GCF_001049495.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001049495	GCF_001049495.1	current	NA	OK	genus_match	98.89	100	1.07	NA	NA	NA	NA	ncbi
RS_GCF_001650405.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001650405	GCF_001650405.1	current	NA	OK	genus_match	98.21	100	3.99	USA: California	NA	NA	air	ncbi
RS_GCF_015354505.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015354505	GCF_015354505.1	current	NA	OK	genus_match	99.32	100	2.29	Brazil:Savana	NA	Plant	endophyte	ncbi
RS_GCF_904831005.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hydrocarbonoxydans_B	GCF_904831005.1	current	NA	Inconclusive	below_threshold_mismatch	98.86	50	1.43	NA	NA	NA	Permafrost	ncbi
RS_GCF_900105205.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hydrocarbonoxydans	GCF_900105205.1	current	NA	OK	species_match	98.19	16.666666	1.19	missing	missing	NA	NA	ncbi
RS_GCF_018613995.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp018613995	GCF_018613995.1	current	NA	OK	genus_match	88.46	100	2.85	Chile: Atacama Desert, between Atacama Salar and Lajia lagoon	23.5043 S 67.6974 W	NA	NA	ncbi
RS_GCF_001889265.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001889265	GCF_001889265.1	current	NA	OK	genus_match	99.39	100	1.25	Austria: Illmitz	47.7751 N 16.7938 E	Linum austriacum ssp. austriacum	roots	ncbi
RS_GCF_002024885.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium foliorum_A	GCF_002024885.1	current	NA	Failed	mismatch	98.86	41.666668	0.74	Canada: Oil Springs, Ontario	NA	plant	oil field site	ncbi
RS_GCF_006385575.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium foliorum_B	GCF_006385575.1	current	NA	Inconclusive	below_threshold_mismatch	99.21	66.666664	1.07	China:Jinan	NA	NA	water	ncbi
RS_GCF_017876435.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium phyllosphaerae	GCF_017876435.1	current	reference genome	OK	species_match	98.85	100	1.16	Germany	missing	not applicable	missing	reference
RS_GCF_001423485.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001423485	GCF_001423485.1	current	NA	OK	genus_match	99.41	100	0.66	Switzerland:Zurich	47.4090306 N 8.47016944 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_001423615.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001423615	GCF_001423615.1	current	NA	OK	genus_match	99.08	100	1.28	Switzerland:Zurich	47.4227222 N 8.54866666 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_001426995.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001426995	GCF_001426995.1	current	NA	OK	genus_match	99	100	0.96	Germany:Cologne	50.958 N 6.856 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_003367705.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium foliorum	GCF_003367705.1	current	reference genome	OK	species_match	98.68	33.333332	0.96	Germany	NA	NA	pphyllosphere of grasses	reference
RS_GCF_002872075.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium kitamiense	GCF_002872075.1	current	NA	Inconclusive	below_threshold_mismatch	99.11	100	3.01	China: Saga, Tibetan	NA	NA	wasteland	ncbi
RS_GCF_003610275.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ginsengiterrae_A	GCF_003610275.1	suppressed	NA	NA	NA	NA	NA	NA	Greece: Zakynthos Island	missing	not applicable	missing	suppressed
RS_GCF_014205075.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ginsengiterrae	GCF_014205075.1	current	NA	OK	species_match	97.14	100	1.22	missing	missing	not applicable	missing	ncbi
flye_asm_2Dt1l_part2	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__	2Dt1l	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bangor
RS_GCF_903645325.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp903645325	GCF_903645325.1	current	reference genome	Inconclusive	mismatch	94.31	100	3.78	NA	NA	NA	blood sample	reference
RS_GCF_007988825.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium aerolatum	GCF_007988825.1	current	reference genome	OK	species_match	98.93	100	0.39	Austria:Vienna	missing	NA	NA	reference
RS_GCF_015277895.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015277895	GCF_015277895.1	current	reference genome	OK	below_threshold_mismatch	96.96	100	1.58	Indian Ocean	NA	NA	sediment from marine environment	reference
RS_GCF_000763375.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium profundi	GCF_000763375.1	current	reference genome	OK	below_threshold_mismatch	98.93	100	1.98	Pacific Ocean	8.38 N 145.40 W	NA	deep-sea sediment	reference
RS_GCF_014635185.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium murale	GCF_014635185.1	current	reference genome	OK	below_threshold_mismatch	98.81	100	NA	not applicable	not applicable	NA	NA	reference
GB_GCA_003524435.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003524435	GCA_003524435.1	current	NA	OK	genus_match	83.9	30.46875	0.85	not applicable	NA	NA	metagenome	ncbi
RS_GCF_000685355.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000685355	GCF_000685355.1	current	NA	OK	genus_match	77.66	100	2.14	Antarctica:Cape Hallet	72.19 S 170.13 E	NA	NA	ncbi
GB_GCA_015655255.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015655255	GCA_015655255.1	current	NA	Inconclusive	low_coverage	NA	NA	NA	Czech Republic: Zofinsky prales National Nature Reserve	48.66447093 N 14.70930505 E	NA	decomposing wood from intermixed hardwood and conifers	ncbi
RS_GCF_003387575.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003387575	GCF_003387575.1	current	reference genome	OK	below_threshold_mismatch	99.21	100	4.37	China: Shangzhi	NA	cow	feces	reference
RS_GCF_009758255.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp009758255	GCF_009758255.1	current	NA	OK	genus_match	99.29	100	3.45	South Korea: Anseong-si	NA	NA	soil	ncbi
RS_GCF_002705755.3	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium esteraromaticum_A	GCF_002705755.3	suppressed	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	Australia: Adelaide	NA	NA	soil	suppressed
RS_GCF_014084045.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium esteraromaticum_D	GCF_014084045.1	current	NA	Inconclusive	below_threshold_match	94.72	8.333333	1.49	Spain: Almeria	NA	NA	agricultural soil	ncbi
RS_GCF_016907315.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium esteraromaticum	GCF_016907315.1	current	reference genome	OK	species_match	97.54	25	1.43	missing	missing	not applicable	missing	reference
RS_GCF_001878835.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001878835	GCF_001878835.1	current	NA	OK	genus_match	95.38	100	0.6	China: Jiuzhaigou	33.26 N 103.91859999 E	Anopheles sinensis	NA	ncbi
GB_GCA_002837415.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002837415	GCA_002837415.1	current	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	Namibia	NA	NA	social spider nest material	ncbi
RS_GCF_900163815.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium esteraromaticum_B	GCF_900163815.1	current	NA	Inconclusive	below_threshold_mismatch	98.52	91.666664	3.9	France	NA	NA	soft ripened cheese	ncbi
RS_GCF_013408055.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium esteraromaticum_C	GCF_013408055.1	suppressed	NA	NA	NA	NA	NA	NA	missing	missing	not applicable	missing	suppressed
GB_GCA_001897945.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001897945	GCA_001897945.1	current	NA	OK	genus_match	93.86	100	3.05	South Africa: University of Cape Town	33.9575 S 18.4606 E	NA	Thiocyanate ramp bioreactor	ncbi
RS_GCF_015040615.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015040615	GCF_015040615.1	current	NA	OK	genus_match	98.99	100	2.03	China	NA	NA	soil	ncbi
RS_GCF_016907255.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium keratanolyticum	GCF_016907255.1	current	NA	OK	species_match	96.79	100	2.38	missing	missing	not applicable	missing	ncbi
RS_GCF_013409745.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium pseudoresistens	GCF_013409745.1	current	reference genome	OK	below_threshold_mismatch	98.92	100	0.8	Taiwan	23.75298511 N 120.9498753 E	not applicable	missing	reference
RS_GCF_001552355.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium resistens	GCF_001552355.1	current	NA	OK	below_threshold_mismatch	97.85	16.666666	1.44	missing	missing	NA	NA	ncbi
GB_GCA_018268455.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp018268455	GCA_018268455.1	current	NA	Inconclusive	below_threshold_lineage_match	NA	NA	NA	China:Shenzhen	22.4932 N 113.8762 E	NA	activated sludge	ncbi
GB_GCA_018268435.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp018268435	GCA_018268435.1	current	NA	Inconclusive	below_threshold_lineage_match	NA	NA	NA	China:Shenzhen	22.4932 N 113.8762 E	NA	activated sludge	ncbi
GB_GCA_017306305.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017306305	GCA_017306305.1	current	NA	OK	genus_match	98.87	93.75	1.93	South Africa: Capetown	33.95 S 18.46 E	NA	planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate	ncbi
GB_GCA_018268515.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp018268515	GCA_018268515.1	current	NA	Inconclusive	below_threshold_lineage_match	NA	NA	NA	China:Shenzhen	22.4932 N 113.8762 E	NA	activated sludge	ncbi
GB_GCA_002257455.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002257455	GCA_002257455.1	current	NA	OK	genus_match	95.84	100	3.84	Canada: Ontario	46.65 N 81.32 W	NA	Mine wastewater	ncbi
RS_GCF_000956505.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium azadirachtae_A	GCF_000956505.1	current	NA	Inconclusive	below_threshold_mismatch	99.46	100	2.8	Austria: Arnoldstein	46.55 N 13.68 E	NA	NA	ncbi
RS_GCF_902506375.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp902506375	GCF_902506375.1	current	NA	OK	genus_match	99.29	100	2.98	NA	NA	Ectocarpus subulatus	NA	ncbi
RS_GCF_000956545.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium azadirachtae	GCF_000956545.1	current	NA	OK	below_threshold_mismatch	99.08	28.571428	2.59	India: Botanical Garden, Tamilnadu, Coimbatore	missing	Azadirachta indica	NA	ncbi
GB_GCA_017968845.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017968845	GCA_017968845.1	current	NA	OK	genus_match	46.93	100	0.67	South Korea: Yeosu-si	NA	NA	sludge	ncbi
RS_GCF_000826185.2	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium gorillae	GCF_000826185.2	current	reference genome	OK	below_threshold_mismatch	96.82	100	3.04	NA	NA	NA	NA	reference
RS_GCF_008017445.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium mitrae	GCF_008017445.1	current	reference genome	OK	species_match	96.01	100	2.31	not collected	NA	not applicable	turban shell	reference
RS_GCF_019061125.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp019061125	GCF_019061125.1	current	NA	OK	genus_match	96.37	100	2.83	China:Gansu	NA	maize	rhizosphere soil	ncbi
RS_GCF_001426925.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001426925	GCF_001426925.1	current	NA	OK	genus_match	99.11	100	1.43	Germany:Cologne	50.958 N 6.856 E	Arabidopsis thaliana	NA	ncbi
RS_GCF_015235415.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium paludicola_A	GCF_015235415.1	current	NA	OK	species_match	98.75	57.142857	1.9	United Kingdom	NA	Mus musculus	Oral	ncbi
RS_GCF_017592545.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017592545	GCF_017592545.1	current	reference genome	OK	below_threshold_mismatch	97.98	100	13.91	China:Heilongjiang	NA	cow	dung	reference
RS_GCF_016805985.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp016805985	GCF_016805985.1	current	NA	OK	genus_match	97.55	100	0.83	Saudi Arabia: Jizan	17.94125 N 42.61157 E	Euphorbia granulata	NA	ncbi
RS_GCF_014643695.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium album	GCF_014643695.1	current	reference genome	OK	below_threshold_mismatch	97.68	100	1.21	not applicable	not applicable	NA	NA	reference
RS_GCF_009735645.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oryzae	GCF_009735645.1	current	reference genome	OK	species_match	97.68	100	1.96	India: Odisha, Jagatpur, Cuttack	20.49694 N 85.94444 E	NA	rice field soil	reference
RS_GCF_004564075.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sediminis	GCF_004564075.1	current	reference genome	OK	species_match	98.12	100	0.15	Indian Ocean	37.8111 S 49.8405 E	NA	deep-sea sediment	reference
RS_GCF_002970975.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium halophytorum	GCF_002970975.1	current	reference genome	OK	below_threshold_mismatch	97.47	100	3.14	China	NA	Kalidium foliatum	NA	reference
RS_GCF_003569805.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium halotolerans	GCF_003569805.1	current	reference genome	OK	below_threshold_mismatch	97.47	100	1.67	missing	NA	NA	soil	reference
RS_GCF_900163665.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900163665	GCF_900163665.1	suppressed	NA	Inconclusive	below_threshold_mismatch	98.84	100	1.84	USA	NA	NA	cheese	suppressed
RS_GCF_011046975.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium amylolyticum	GCF_011046975.1	current	reference genome	OK	species_match	97.58	100	2.73	South Korea	NA	NA	soil	reference
RS_GCF_000422385.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium indicum	GCF_000422385.1	current	reference genome	OK	below_threshold_mismatch	99.82	100	NA	Indian Ocean	NA	NA	NA	reference
RS_GCF_014640975.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium faecale	GCF_014640975.1	current	reference genome	OK	below_threshold_mismatch	97.35	100	1.55	not applicable	not applicable	NA	NA	reference
RS_GCF_003327285.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sorbitolivorans	GCF_003327285.1	current	reference genome	OK	species_match	96.93	100	2.88	China: Fujian	NA	NA	fermentation bed of a pigpen	reference
RS_GCF_014646015.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium nanhaiense	GCF_014646015.1	current	reference genome	OK	below_threshold_mismatch	95.36	100	2.71	not applicable	not applicable	NA	NA	reference
GB_GCA_019117025.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium stercoravium	GCA_019117025.1	current	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	not applicable	NA	Gallus gallus	NA	ncbi
RS_GCF_000422745.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium gubbeenense	GCF_000422745.1	current	reference genome	OK	below_threshold_mismatch	98.33	100	1.92	Ireland	NA	NA	NA	reference
RS_GCF_003254645.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium suaedae	GCF_003254645.1	current	reference genome	OK	below_threshold_mismatch	99.11	100	1.86	China	NA	Suaeda aralocaspica	NA	reference
RS_GCF_009745985.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium karelineae	GCF_009745985.1	current	reference genome	OK	below_threshold_mismatch	99.11	100	3.36	China: Xinjiang	NA	Karelinia caspia	root	reference
RS_GCF_011326725.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium excoecariae	GCF_011326725.1	current	reference genome	OK	below_threshold_mismatch	98.23	100	0.96	China:Guangxi Zhuang Autonomous Region	NA	Excoecaria agallocha	bark	reference
RS_GCF_000426445.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium album	GCF_000426445.1	current	reference genome	OK	below_threshold_mismatch	92.73	100	9.19	China	NA	NA	NA	reference
GB_GCA_019117325.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium intestinigallinarum	GCA_019117325.1	current	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	not applicable	NA	Gallus gallus	NA	ncbi
RS_GCF_000285835.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium senegalense	GCF_000285835.1	current	reference genome	OK	below_threshold_mismatch	91.83	100	8.86	France:Marseille	NA	Homo sapiens	host stool sample	reference
RS_GCF_016107685.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium yomogidense	GCF_016107685.1	current	reference genome	OK	species_match	89.1	66.666664	7.05	Japan	missing	NA	NA	reference
RS_GCF_900163715.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium yomogidense_A	GCF_900163715.1	current	NA	Inconclusive	below_threshold_mismatch	90.72	100	6.24	NA	NA	NA	NA	ncbi
RS_GCF_900169175.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium jeotgali	GCF_900169175.1	current	NA	OK	species_match	90.55	100	5.03	NA	NA	NA	NA	ncbi
RS_GCF_009857845.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium rongguiense	GCF_009857845.1	current	reference genome	OK	below_threshold_mismatch	90.87	100	3.12	China: West Wenming Road, Shunde, Foshan, Guangdong	22.76 N 113.27 E	NA	waterway sediment	reference
RS_GCF_001584615.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium ravenspurgense	GCF_001584615.1	current	reference genome	OK	species_match	86.43	87.5	3.6	Germany: Ravensburg	NA	Homo sapiens	wound	reference
RS_GCF_001815905.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium sp001815905	GCF_001815905.1	current	NA	OK	genus_match	86.1	100	4.18	NA	NA	Homo sapiens	urinary tract	ncbi
RS_GCF_000178455.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium mcbrellneri	GCF_000178455.1	current	reference genome	OK	below_threshold_mismatch	98.75	100	0.16	not determined	not determined	Homo sapiens	missing	reference
RS_GCF_016907735.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium paucivorans	GCF_016907735.1	current	reference genome	Inconclusive	below_threshold_match	94.27	25	0.51	Belgium	missing	not applicable	missing	reference
RS_GCF_013004595.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium luteolum	GCF_013004595.1	current	NA	OK	species_match	92.6	88.23529	6.62	Belgium	NA	Homo sapiens	peritoneal fluid	ncbi
RS_GCF_013359525.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium luteolum_A	GCF_013359525.1	suppressed	NA	Failed	mismatch	81.84	11.764706	2.26	Pakistan: Arabian Sea, Karachi	NA	NA	marine sediment	suppressed
RS_GCF_005280295.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Brevibacteriaceae	g__Brevibacterium	s__Brevibacterium sp005280295	GCF_005280295.1	current	NA	OK	genus_match	90.18	100	8.84	Pakistan:Kala Shah Kaku	NA	NA	Industrial wastewater	ncbi
